-0.39	-0.41	-0.97	0.68	-1.18	0.9
5.07	-0.8	1.8	0.36	-0.35	1.01
-1.57	-0.52	0.13	-0.71	0.29	0.19
2.53	-1.39	-0.1	2.8	-2.01	3.12
-0.85	-0.88	1.75	-0.51	2.24	-0.74
1.83	-2.1	-0.02	0.03	-0.07	1.75
2.24	0.13	1.48	0.17	1.47	0.86
1.54	0.28	2.81	-0.05	0.91	0.26
1.41	1.23	3.4	-2.21	3.22	0.75
0.1	-1.52	-0.67	-1.27	-1.08	-0.58
1.42	-0.63	1.86	-0.16	0.17	2.57
1.27	0.29	0.62	-0.28	-0.17	0.46
1.74	0.5	0.75	0.08	1.91	-0.35
-1.44	0.41	0.08	0.12	0.35	-0.22
2.69	-0.34	1.7	-0.56	0.62	-0.41
0.59	0.87	1.17	-0.43	0.47	0.08
0	-0.15	-1.96	0.63	-0.26	1.03
0.03	-0.69	-2.48	1.07	-1.5	-0.74
3.54	2.44	0.12	0.91	0.1	-1.44
0.44	3.31	0.11	0.23	-0.68	0.32
-1.34	2.12	1.03	-0.32	0.69	0.15
3.11	1.05	0.66	0.3	-2.2	2.63
-0.77	0.1	-1.61	-0.45	0.53	0.6
-5.51	-4.28	0.59	0.22	0.37	-3.13
1.43	1.08	2.2	-1.37	0.03	4.1
2.73	2.71	-1	1.9	-0.74	2.58
2.86	0.62	-0.13	-0.89	0.8	3.3
2.6	3.47	1.56	1.17	-0.65	3.46
-0.03	5.19	0.15	-1.01	-0.94	4.45
1.01	2.66	2.03	-1.14	-0.53	0.12
0.72	4.68	3.56	-2.82	-0.11	5.39
-1.21	4.71	0.33	-0.17	-1.49	4.57
-2.51	0.32	-1.98	1.3	0.06	1.42
2.14	3.35	-0.46	0.39	-0.95	6.28
-5.66	-5.1	-1.63	1.64	-1.52	-4.7
-1.44	1.37	0.5	0.15	0.78	3.25
-1.63	-0.41	0.95	-0.36	1.79	-1.34
-7.91	-3.12	0.43	-0.09	0.8	-2.14
-1.06	-1.14	0.56	-1.68	2.37	-1.84
3.86	-6.45	2.69	-3.48	4.25	-5.26
1.4	3.34	-4.69	4.13	-6.62	5.72
0.13	2.02	-1.19	0.7	-0.34	1.06
8.15	9.1	2.27	0.96	-3.16	-6.93
0.78	3.06	-2.22	1.99	-0.99	3.52
3.99	1.87	0.37	0.86	-1.6	1.53
3.89	0.43	-2.48	2.33	-3.67	0.59
-4.33	2.29	1.09	-1.73	1.73	0.72
2.41	6.43	0.85	-0.62	-2.42	6
4.58	3.54	2.73	0.48	2.7	-1.07
-0.89	0.72	1.44	0.3	1.45	-1.38
3.11	2.44	-2.5	0.2	-0.95	2.52
-3.09	0.53	-3.3	1.01	-2.62	3.67
0.37	-0.04	-1.7	1.34	-2.34	1.26
3.05	5.75	-0.53	-0.81	0.13	3.25
-4.06	4.51	4.8	-4.62	6.46	-4.7
-3.75	-2.91	1.28	-0.16	2.45	-3.43
0.2	-1.59	-0.59	1.05	-1.1	3.23
9.05	6.18	-1.13	2.69	-3.65	5.09
2.28	7	0.85	0.43	-1.92	3.8
0.69	-0.28	0.73	-1.41	2.76	-1.9
-2.72	-1.41	5.39	-3.13	3.72	-0.88
1.34	2.27	1.01	-0.7	0.48	1.89
4.03	2.81	0.3	-1.99	0.87	-0.65
0.42	-0.42	2.86	-1.32	2.7	-1.46
5.43	2.39	-0.92	0.43	-2.43	1.75
-3.94	3.52	-0.01	-1.86	1.76	-0.01
-1.25	-0.44	1.67	-1.55	1.38	-0.17
-5.84	-4.16	0.91	2.07	0.83	-2.36
2.64	-0.45	-0.51	-1.43	-0.35	3.97
1.46	-0.8	-0.03	0.41	0.06	1.13
-0.1	-0.11	0.7	-0.95	1.39	1.7
-7.18	-5.45	-1.08	4.32	-1.6	-2.3
-7	-3.41	1.2	1.48	1.91	1.71
4.68	0.7	-3.79	1.13	-4.02	2.17
-2.98	1.29	-3.27	3.39	-0.82	2.52
5.06	3.96	-3.16	0.05	-2.15	-4.31
-3.79	-2.45	-1.19	1.46	0.3	3.66
-2.63	-3.76	-2.86	2.54	-1.81	4.96
-8.1	3.12	3.13	-1.72	3.84	0.6
5.13	-2.76	3.93	-2.29	2.76	0.23
-1.06	-2.41	3.99	-1	4.29	-0.36
-11	-6.4	6.18	-0.64	6.21	-0.77
-6.92	-4.48	3.33	-1.21	3.9	-2.78
-5.79	-2.2	0.6	0.13	2.96	5.7
6.93	-0.62	0.9	-0.26	1.84	-3.14
4.49	1.52	1.15	0.56	-0.21	-6.55
4.18	8.51	-5.47	0.3	-5.83	-8.8
-2.28	-4.43	0.22	1.71	2.34	9.42
4.6	-3.86	1.69	1.57	1.47	2.73
5.72	2.94	1	0.27	0.3	-2.23
4.84	7.54	1.33	-1.99	0.07	-6.51
1.41	2.04	-1.23	0.62	-0.7	0.79
4.13	2.26	-3.95	1.82	-2.71	-1.41
3.15	-0.36	0.69	-1.47	0.87	1.41
-3.98	-1.11	-1.44	1.4	0.25	0.86
-0.1	-1.48	-1.87	1.53	-1.64	2.73
-4.5	-1.39	0.02	0.64	1.46	-2.35
3.79	-0.16	2.63	-0.43	2.64	3.61
-0.85	0.28	-2.91	2.56	-1.58	2.12
-4.42	-1.6	-0.48	1.62	-1.35	0.47
-0.46	-2.86	-1.68	2.44	-0.34	1.51
8.71	3.27	-0.4	-0.4	-1.75	-0.58
2.49	6.1	2.24	-1.69	0.55	0.17
2.87	0.87	-2.79	1.61	-0.52	2.54
0.63	-0.43	-1.61	1.63	-0.18	2.94
0.29	0.23	0.12	-0.42	-1.03	2.81
1.25	-3.1	-2.7	2.34	-1.95	3.29
-2.43	-0.43	-2.48	1.88	-0.36	1.9
-0.8	-2.77	0.66	1.14	-0.66	2.75
3.26	-3.48	4.54	-1.96	2.85	-5.4
-1.14	-2.23	0.46	1.68	-1.97	1.82
